BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
45;0a3f5087-3b97-32b8-e044-0003ba298018;2114171;510;112.0;1966;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1961-1972;154.6;17.3152;1961-1972;58;6.496;674677.07;6110933.17;POINT(674677.07 6110933.17);
46;0a3f5086-69be-32b8-e044-0003ba298018;1317441;210;154.0;1857;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Før 1890;45.0;6.93;<1930;45;6.93;693503.61;6110576.2;POINT(693503.61 6110576.2);
47;0a3f5086-6bd4-32b8-e044-0003ba298018;1314955;120;194.0;1777;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;33.0382;<1930;209;40.546;696529.25;6108149.85;POINT(696529.25 6108149.85);
48;0a3f5085-970d-32b8-e044-0003ba298018;2489199;120;104.0;1984;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;10.9616;1979-1998;90;9.36;709987.28;6099688.25;POINT(709987.28 6099688.25);
49;0a3f5087-2f41-32b8-e044-0003ba298018;2112423;320;1344.0;1983;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til kontor, handel, lager herunder offentlig administration;Kontor, handel, lager, off. adm.;Handel og servicevirksomheder;1979-1998;103.3;138.8352;1979-1998;77;103.488;684549.25;6101389.99;POINT(684549.25 6101389.99);
50;0a3f5085-649c-32b8-e044-0003ba298018;541509;120;102.0;1962;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;90;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;13.6986;1961-1972;143;14.586;693196.88;6098633.46;POINT(693196.88 6098633.46);
51;0a3f5087-40c5-32b8-e044-0003ba298018;2112912;210;306.0;1870;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Før 1890;45.0;13.77;<1930;45;13.77;686811.04;6102396.95;POINT(686811.04 6102396.95);
52;0a3f5085-a3bb-32b8-e044-0003ba298018;2476700;120;196.0;1887;Varmepumpe;Elektricitet;0;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;33.378800000000005;<1930;209;40.964;695384.26;6091330.44;POINT(695384.26 6091330.44);
53;0a3f5087-33e5-32b8-e044-0003ba298018;2111412;120;133.0;1980;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;14.0182;1979-1998;90;11.97;689423.9;6104023.32;POINT(689423.9 6104023.32);
54;0a3f5085-8622-32b8-e044-0003ba298018;2482227;120;134.0;2002;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1999-2006;83.9;11.2426;>1998;72;9.648;703487.72;6090819.4;POINT(703487.72 6090819.4);
